class;size;iOSSpacer;type;marketingNumber;name;modelId
iPadMini;8.3;26;ipad;4;iPad Mini 4th Gen;iPad5,1
iPadMini;8.3;26;ipad;4;iPad Mini 4th Gen;iPad5,2
iPadMini;8.3;26;ipad;5;iPad Mini 5th Gen;iPad11,1
iPadMini;8.3;26;ipad;5;iPad Mini 5th Gen;iPad11,2
iPadMini;8.3;26;ipad;6;iPad Mini 6th Gen;iPad14,1
iPadMini;8.3;26;ipad;6;iPad Mini 6th Gen;iPad14,2
iPadMini;8.3;26;ipad;A17;iPad Mini A17 Pro (7th);iPad16,1
iPadMini;8.3;26;ipad;A17;iPad Mini A17 Pro (7th);iPad16,2

iPad11in;9.7;26;ipad;1;iPad 1st Gen;iPad1,1
iPad11in;9.7;26;ipad;1;iPad 2nd Gen;iPad2,1
iPad11in;9.7;26;ipad;2;iPad 2nd Gen;iPad2,2
iPad11in;9.7;26;ipad;2;iPad 2nd Gen;iPad2,3
iPad11in;9.7;26;ipad;2;iPad 2nd Gen;iPad2,4
iPad11in;9.7;26;ipad;3;iPad 3rd Gen;iPad3,1
iPad11in;9.7;26;ipad;3;iPad 3rd Gen;iPad3,2
iPad11in;9.7;26;ipad;3;iPad 3rd Gen;iPad3,3
iPad11in;9.7;26;ipad;4;iPad 4th Gen;iPad3,4
iPad11in;9.7;26;ipad;4;iPad 4th Gen;iPad3,5
iPad11in;9.7;26;ipad;4;iPad 4th Gen;iPad3,6
iPad11in;9.7;26;ipad;5;iPad 5th Gen;iPad6,11
iPad11in;9.7;26;ipad;5;iPad 5th Gen;iPad6,12
iPad11in;10.2;26;ipad;6;iPad 6th Gen;iPad7,5
iPad11in;10.2;26;ipad;6;iPad 6th Gen;iPad7,6
iPad11in;10.2;26;ipad;7;iPad 7th Gen;iPad7,11
iPad11in;10.2;26;ipad;7;iPad 7th Gen;iPad7,12
iPad11in;10.2;26;ipad;8;iPad 8th Gen;iPad11,6
iPad11in;10.2;26;ipad;8;iPad 8th Gen;iPad11,7
iPad11in;10.2;26;ipad;9;iPad 9th Gen;iPad12,1
iPad11in;10.2;26;ipad;9;iPad 9th Gen;iPad12,2
iPad11in;10.9;26;ipad;10;iPad 10th Gen;iPad13,18
iPad11in;10.9;26;ipad;10;iPad 10th Gen;iPad13,19
iPad11in;10.9;26;ipad;A16;iPad A16;iPad15,7
iPad11in;10.9;26;ipad;A16;iPad A16;iPad15,8

iPad13in;12.9;26;ipad;1;iPad Pro 1st Gen;iPad6,7
iPad13in;12.9;26;ipad;1;iPad Pro 1st Gen;iPad6,8
iPad11in;9.7;26;ipad;1;iPad Pro 1st Gen;iPad6,3
iPad11in;9.7;26;ipad;1;iPad Pro 1st Gen;iPad6,4
iPad11in;12.9;26;ipad;2;iPad Pro 2017 Gen;iPad7,1
iPad11in;12.9;26;ipad;2;iPad Pro 2017 Gen;iPad7,2
iPad11in;10.5;26;ipad;5;iPad Pro 5th Gen;iPad7,3
iPad11in;10.5;26;ipad;5;iPad Pro 5th Gen;iPad7,4
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad8,1
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad8,2
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad8,3
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad8,4
iPad11in;12.9;26;ipad;3;iPad Pro 3rd Gen;iPad8,5
iPad11in;12.9;26;ipad;3;iPad Pro 3rd Gen;iPad8,6
iPad11in;12.9;26;ipad;3;iPad Pro 3rd Gen;iPad8,7
iPad11in;12.9;26;ipad;3;iPad Pro 3rd Gen;iPad8,8
iPad11in;11.0;26;ipad;2;iPad Pro 2nd Gen;iPad8,9
iPad11in;11.0;26;ipad;2;iPad Pro 2nd Gen;iPad8,10
iPad13in;12.9;26;ipad;4;iPad Pro 4th Gen;iPad8,11
iPad13in;12.9;26;ipad;4;iPad Pro 4th Gen;iPad8,12
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad13,4
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad13,5
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad13,6
iPad11in;11.0;26;ipad;3;iPad Pro 3rd Gen;iPad13,7
iPad11in;12.9;26;ipad;5;iPad Pro 5th Gen;iPad13,8
iPad11in;12.9;26;ipad;5;iPad Pro 5th Gen;iPad13,9
iPad11in;12.9;26;ipad;5;iPad Pro 5th Gen;iPad13,10
iPad11in;12.9;26;ipad;5;iPad Pro 5th Gen;iPad13,11
iPad11in;11.0;26;ipad;4;iPad Pro 4th Gen;iPad14,3
iPad11in;11.0;26;ipad;4;iPad Pro 4th Gen;iPad14,4
iPad13in;12.9;26;ipad;6;iPad Pro 6th Gen;iPad14,5
iPad13in;12.9;26;ipad;6;iPad Pro 6th Gen;iPad14,6
iPad11in;11.0;26;ipad;M4;iPad Pro M4;iPad16,3
iPad11in;11.0;26;ipad;M4;iPad Pro M4;iPad16,4
iPad13in;13.0;26;ipad;M4;iPad Pro M4;iPad16,5
iPad13in;13.0;26;ipad;M4;iPad Pro M4;iPad16,6


